timestamp_utc,observation_time_ist,place,district,state,pincode,latitude,longitude,elevation_m,temperature_c,relative_humidity_pct,wind_speed_kmh
2026-09-09T10:01:30.816967+00:00,2026-09-09T15:30,Alur,Kurnool,Andhra Pradesh,518395,15.43058,77.23943,459.0,34.5,37,16.2
2026-09-09T10:03:47.219771+00:00,2026-09-09T15:30,Alur,Kurnool,Andhra Pradesh,518395,15.43058,77.23943,459.0,34.5,37,16.2
2026-09-09T10:05:24.079779+00:00,2026-09-09T15:30,Alur,Kurnool,Andhra Pradesh,518395,15.43058,77.23943,459.0,34.5,37,16.2
2026-09-09T10:10:33.131657+00:00,2026-09-09T15:30,Alur,Kurnool,Andhra Pradesh,518395,15.43058,77.23943,459.0,34.5,37,16.2
